"","models","layers","gen_auc","gen_acc","gen_ep","gen_loss","gen_lr","gen_pre","gen_rec"
"1","Modelo 1",2,0.993834829330444,0.977130335569382,50,0.0707862170413136,0.001,0.980374395847321,0.959862047433853
"2","Modelo 2",3,0.982885903120041,0.971867179870605,50,0.19588208309724,0.001,0.962103176116943,0.964407503604889
"3","Modelo 3",4,0.982347503304482,0.970974323153496,50,0.221233650632598,0.001,0.962072119116783,0.962324172258377
"4","Modelo 4",1,0.995015430450439,0.982393491268158,50,0.0698403336107731,0.001,0.984687823057175,0.968376535177231
"5","Modelo 1",2,0.986853325366974,0.978884720802307,100,0.130798450112343,0.001,0.980374395847321,0.964407503604889
"6","Modelo 2",3,0.974874484539032,0.971867179870605,100,0.444603294634024,0.001,0.962103176116943,0.964407503604889
"7","Modelo 3",4,0.975399830937386,0.967465552687645,100,0.494308996523727,0.001,0.957219529151917,0.957968112826347
"8","Modelo 4",1,0.995476239919662,0.978853392601013,100,0.0650246636942029,0.001,0.985603153705597,0.960043209791184
"9","Modelo 1",2,0.982413846254349,0.973621565103531,150,0.217709389823722,0.001,0.971710526943207,0.960240840911865
"10","Modelo 2",3,0.977654755115509,0.973621565103531,150,0.413943871737206,0.001,0.966447371244431,0.964407503604889
"11","Modelo 3",4,0.976306834816933,0.971835848689079,150,0.435615826339885,0.001,0.964912283420563,0.962324172258377
"12","Modelo 4",1,0.995283615589142,0.978853392601013,150,0.0716882281936705,0.001,0.985603153705597,0.960422003269196
"13","Modelo 1",2,0.983866196870804,0.961340862512589,50,0.297493335000399,0.005,0.937229436635971,0.964407503604889
"14","Modelo 2",3,0.977869832515717,0.968327081203461,50,0.420815720985411,0.005,0.962290984392166,0.953990840911865
"15","Modelo 3",4,0.976768255233765,0.972728708386421,50,0.405097029078058,0.005,0.968645489215851,0.958595305681229
"16","Modelo 4",1,0.995147502422333,0.975344622135162,50,0.0754350868053734,0.005,0.975514876842499,0.960240840911865
"17","Modelo 1",2,0.976085084676743,0.971835851669312,100,0.411692291550344,0.005,0.967150777578354,0.960240840911865
"18","Modelo 2",3,0.974852484464645,0.970050132274628,100,0.492714121566886,0.005,0.961843430995941,0.960240834951401
"19","Modelo 3",4,0.977486330270767,0.97445176243782,100,0.534520076430599,0.005,0.96919224858284,0.964407500624657
"20","Modelo 4",1,0.988610148429871,0.973621565103531,100,0.115602221270092,0.005,0.966447371244431,0.964407503604889
"21","Modelo 1",2,0.968865180015564,0.968358409404755,150,0.62197480604591,0.005,0.957055681943893,0.958157503604889
"22","Modelo 2",3,0.974044817686081,0.975375950336456,150,0.58720713820022,0.005,0.981436491012573,0.956074178218842
"23","Modelo 3",4,0.974461054801941,0.973605901002884,150,0.611233678563864,0.005,0.973851352930069,0.958157509565353
"24","Modelo 4",1,0.985509365797043,0.971835851669312,150,0.170852613329771,0.005,0.967514878511429,0.960059678554535
"25","Modelo 1",2,0.981207066774368,0.975375950336456,50,0.303479617620906,0.01,0.971861106157303,0.961116433143616
"26","Modelo 2",3,0.9786372423172,0.968264418840408,50,0.373570718779956,0.01,0.961776489019394,0.954171997308731
"27","Modelo 3",4,0.976549306511879,0.97005013525486,50,0.463217559738972,0.01,0.959830558300018,0.961463662981987
"28","Modelo 4",1,0.989664971828461,0.970081466436386,50,0.120061964110937,0.01,0.962011420726776,0.960240840911865
"29","Modelo 1",2,0.9721959233284,0.968327081203461,100,0.63846568679437,0.01,0.958804351091385,0.960240840911865
"30","Modelo 2",3,0.974982875585556,0.973590236902237,100,0.625967717587639,0.01,0.972041064500809,0.960240840911865
"31","Modelo 3",4,0.972650799155235,0.971835851669312,100,0.707191716358442,0.01,0.968797600269318,0.957115840911865
"32","Modelo 4",1,0.985513025522232,0.968327081203461,100,0.23731903865264,0.01,0.952636086940765,0.966123193502426
"33","Modelo 1",2,0.976182019710541,0.971835851669312,150,0.614789129470107,0.01,0.970652174949646,0.953990840911865
"34","Modelo 2",3,0.968540978431702,0.971835851669312,150,0.717242406433218,0.01,0.972041064500809,0.954685282707214
"35","Modelo 3",4,0.972455939650536,0.975360286235809,150,0.725494587401278,0.01,0.976738774776459,0.959546393156052
"36","Modelo 4",1,0.981821727752686,0.970050132274628,150,0.38784463675911,0.01,0.971568632125855,0.949824178218842
