gen_kernel,gen_gamma,gen_cost,gen_acc,gen_auc,gen_pre,gen_rec
radial,0.05,0.01,0.6273182957393484,0.5,0.6273182957393484,1
linear,0.05,0.01,0.943734335839599,0.9253567149276531,0.9211346565785024,0.9972972972972973
polynomial,0.05,0.01,0.630827067669173,0.5046739130434783,0.6295426065162907,1
radial,0.05,0.1,0.9331140350877193,0.9144000371660554,0.9108054327373968,0.9920341394025605
linear,0.05,0.1,0.9647869674185463,0.9550327660567935,0.9525435860962177,0.9946657183499289
polynomial,0.05,0.1,0.6413847117794487,0.5188953815698667,0.6362519936204146,1
radial,0.05,1,0.9666666666666667,0.9601148642967865,0.9660986032937252,0.9839101912786123
linear,0.05,1,0.9735902255639097,0.9690520512204117,0.9700719574403784,0.9890929629319722
polynomial,0.05,1,0.7504699248120301,0.6672756715748707,0.7176894906332563,0.9972972972972973
radial,0.05,10,0.9701127819548871,0.9662292546476151,0.9699776401788786,0.983826157665167
linear,0.05,10,0.9665413533834586,0.9618536283730119,0.9648338622022833,0.9832106099907958
polynomial,0.05,10,0.8945175438596491,0.8614651086418821,0.8623039443122552,0.9918918918918919
radial,0.05,100,0.9613095238095238,0.9559858319131102,0.9613202689982876,0.9774093605053358
linear,0.05,100,0.9700501253132832,0.9654981296517843,0.9675322749006959,0.986151786461384
polynomial,0.05,100,0.9418859649122807,0.9284091217230771,0.9284252625716041,0.9828393155599038
radial,0.5,0.01,0.6273182957393484,0.5,0.6273182957393484,1
linear,0.5,0.01,0.943734335839599,0.9253567149276531,0.9211346565785024,0.9972972972972973
polynomial,0.5,0.01,0.8945175438596491,0.8614651086418821,0.8623039443122552,0.9918918918918919
radial,0.5,0.1,0.6273182957393484,0.5,0.6273182957393484,1
linear,0.5,0.1,0.9647869674185463,0.9550327660567935,0.9525435860962177,0.9946657183499289
polynomial,0.5,0.1,0.9418859649122807,0.9284091217230771,0.9284252625716041,0.9828393155599038
