"","models","layers","gen_auc","gen_acc","gen_ep","gen_loss","gen_lr","gen_pre","gen_rec"
"1","Modelo 1",2,0.973082059621811,0.892924529314041,50,0.349729898571968,0.001,0.892585164308548,0.889078372716904
"2","Modelo 2",1,0.970035064220429,0.877539920806885,50,0.480489191412926,0.001,0.895874202251434,0.827793902158737
"3","Modelo 3",3,0.967928612232208,0.887155294418335,50,0.413301311433315,0.001,0.889988791942596,0.881422346830368
"4","Modelo 4",4,0.962991106510162,0.887119019031525,50,0.447669804096222,0.001,0.887119019031525,0.887119019031525
"5","Modelo 1",2,0.969677197933197,0.896589255332947,100,0.393660163879395,0.001,0.899945217370987,0.896589255332947
"6","Modelo 2",1,0.975296115875244,0.881386065483093,100,0.358892947435379,0.001,0.888186204433441,0.881386065483093
"7","Modelo 3",3,0.958949965238571,0.875653123855591,100,0.606200145184994,0.001,0.877199125289917,0.875653123855591
"8","Modelo 4",4,0.950412607192993,0.864114665985107,100,0.846405884623528,0.001,0.865518373250961,0.862191587686539
"9","Modelo 1",2,0.967508417367935,0.879571849107742,150,0.461629411578178,0.001,0.879571849107742,0.879571849107742
"10","Modelo 2",1,0.976287668943405,0.887119007110596,150,0.337081894278526,0.001,0.888148492574692,0.88134977221489
"11","Modelo 3",3,0.951342886686325,0.875653129816055,150,0.912040060758591,0.001,0.875653129816055,0.875653129816055
"12","Modelo 4",4,0.936670631170273,0.871879535913467,150,1.14958882629871,0.001,0.873086178302765,0.868033391237259
"13","Modelo 1",2,0.960851019620895,0.879499274492264,50,0.584981495141983,0.005,0.882315230369568,0.87568941116333
"14","Modelo 2",1,0.974872481822967,0.892888236045837,50,0.340594308078289,0.005,0.89594646692276,0.889042085409164
"15","Modelo 3",3,0.948964858055115,0.883309143781662,50,0.948860475420952,0.005,0.88684760928154,0.883309143781662
"16","Modelo 4",4,0.949976277351379,0.862227874994278,50,0.914070209860802,0.005,0.862227874994278,0.862227874994278
"17","Modelo 1",2,0.941584879159927,0.864114660024643,100,1.12476777434349,0.005,0.864114660024643,0.864114660024643
"18","Modelo 2",1,0.973988193273544,0.890928882360458,100,0.358059373497963,0.005,0.897492557764053,0.88711901307106
"19","Modelo 3",3,0.943410837650299,0.877503633499146,100,1.57471126317978,0.005,0.877503633499146,0.877503633499146
"20","Modelo 4",4,0.934705656766891,0.875616830587387,100,1.6778945505619,0.005,0.875616830587387,0.875616830587387
"21","Modelo 1",2,0.939654797315598,0.854608130455017,150,1.41035744547844,0.005,0.854608130455017,0.854608130455017
"22","Modelo 2",1,0.975974583625793,0.898584914207458,150,0.370327600836754,0.005,0.899981254339218,0.892851966619492
"23","Modelo 3",3,0.938335144519806,0.869920182228088,150,1.74334090054035,0.005,0.869920182228088,0.869920182228088
"24","Modelo 4",4,0.940263932943344,0.875616842508316,150,1.95908039808273,0.005,0.877351385354996,0.875616842508316
"25","Modelo 1",2,0.951537448167801,0.875761967897415,50,0.850150066614151,0.01,0.875761967897415,0.875761967897415
"26","Modelo 2",1,0.971819400787354,0.889005810022354,50,0.377766278386116,0.01,0.890522640943527,0.88711901307106
"27","Modelo 3",3,0.956562566757202,0.883127725124359,50,0.972791405022144,0.01,0.883127725124359,0.883127725124359
"28","Modelo 4",4,0.947773844003677,0.866037738323212,50,1.08708574473858,0.01,0.865773785114288,0.864114660024643
"29","Modelo 1",2,0.942885583639145,0.862191587686539,100,1.30113434493542,0.01,0.863860672712326,0.862191587686539
"30","Modelo 2",1,0.970140814781189,0.879462993144989,100,0.40231698602438,0.01,0.882717216014862,0.879462993144989
"31","Modelo 3",3,0.939911675453186,0.881349784135818,100,1.77518775761127,0.01,0.881349784135818,0.881349784135818
"32","Modelo 4",4,0.937426286935806,0.871806973218918,100,2.65180506706238,0.01,0.874960815906525,0.871806973218918
"33","Modelo 1",2,0.941671168804169,0.873730039596558,150,1.52800777554512,0.01,0.873730039596558,0.873730039596558
"34","Modelo 2",1,0.968385404348373,0.879462999105453,150,0.477912491559982,0.01,0.884712862968445,0.879462999105453
"35","Modelo 3",3,0.939526921510696,0.879571843147278,150,2.10258214771748,0.01,0.879571843147278,0.879571843147278
"36","Modelo 4",4,0.938854014873505,0.87753991484642,150,2.29618331193924,0.01,0.87753991484642,0.87753991484642
