gen_kernel,gen_gamma,gen_cost,gen_acc,gen_auc,gen_pre,gen_rec
radial,0.05,0.01,0.37285921625544266,0.5,NA,0
linear,0.05,0.01,0.8545718432510886,0.8949764260793672,0.8686622428998589,0.8754862990466706
polynomial,0.05,0.01,0.37285921625544266,0.5,NA,0
radial,0.05,0.1,0.8144049346879536,0.9011760740979007,0.8261636321195145,0.870940844501216
linear,0.05,0.1,0.8965529753265602,0.9281513339601575,0.919685802972248,0.9129206088029618
polynomial,0.05,0.1,0.3899854862119013,0.5,NA,0
radial,0.05,1,0.8908200290275762,0.9206551046992224,0.9394652147369539,0.90444398738516385
linear,0.05,1,0.8984760522496371,0.9218112571982541,0.9137277183600713,0.9035850527181797
polynomial,0.05,1,0.5313134978229318,0.5827307287369207,0.8053968253968254,0.2670142963331818
radial,0.05,10,0.8928156748911467,0.9384258225434696,0.9178186274509804,0.9227341286164815
linear,0.05,10,0.8985123367198838,0.92829875662693,0.9008771929824562,0.9171597133516638
polynomial,0.05,10,0.7818577648766328,0.7688102284425814,0.8642011136438381,0.7139735290509284
radial,0.05,100,0.879499274310595,0.8880372688886621,0.8934911493735023,0.8874161236080741
linear,0.05,100,0.8965892597968069,0.9297802381084115,0.8828624871001032,0.9238263800183305
polynomial,0.05,100,0.8757619738751814,0.8839801294909654,0.9197824213297359,0.8703216494547764
radial,0.5,0.01,0.37285921625544266,0.5,NA,0
linear,0.5,0.01,0.8545718432510886,0.8949764260793672,0.8686622428998589,0.8754862990466706
polynomial,0.5,0.01,0.7818577648766328,0.7688102284425814,0.8642011136438381,0.7139735290509284
radial,0.5,0.1,0.6560595065312047,0.7985692346296062,0.540483963569832,0.9286830919338659
linear,0.5,0.1,0.8965529753265602,0.9281513339601575,0.919685802972248,0.9129206088029618
polynomial,0.5,0.1,0.8757619738751814,0.8839801294909654,0.9197824213297359,0.8703216494547764
radial,0.5,1,0.864078374455733,0.9222786955333395,0.9312966711650922,0.898155188464786
linear,0.5,1,0.8984760522496371,0.9218112571982541,0.9137277183600713,0.9035850527181797
polynomial,0.5,1,0.8564223512336719,0.9027131051782755,0.8829406850459482,0.881679909357928
radial,0.5,10,0.8411828737300435,0.8488350816137193,0.8767792501616031,0.8279305318005008
linear,0.5,10,0.8985123367198838,0.92829875662693,0.9008771929824562,0.9171597133516638
polynomial,0.5,10,0.8107039187227867,0.8222142838241909,0.8317285861713106,0.7979091702930712
radial,0.5,100,0.8392960812772133,0.8604580870912141,0.877106047547224,0.8331936896952377
linear,0.5,100,0.8965892597968069,0.9297802381084115,0.8828624871001032,0.9238263800183305
polynomial,0.5,100,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,5,0.01,0.37285921625544266,0.5,NA,0
linear,5,0.01,0.8545718432510886,0.8949764260793672,0.8686622428998589,0.8754862990466706
polynomial,5,0.01,0.8107039187227867,0.8222142838241909,0.8317285861713106,0.7979091702930712
radial,5,0.1,0.37285921625544266,0.5,NA,0
linear,5,0.1,0.8965529753265602,0.9281513339601575,0.919685802972248,0.9129206088029618
polynomial,5,0.1,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,5,1,0.37855587808417995,0.501395173453997,NA,0.019457013574660634
linear,5,1,0.8984760522496371,0.9218112571982541,0.9137277183600713,0.9035850527181797
polynomial,5,1,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,5,10,0.3977140783744557,0.5123591114767586,NA,0.07320307143836556
linear,5,10,0.8985123367198838,0.92829875662693,0.9008771929824562,0.9171597133516638
polynomial,5,10,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,5,100,0.3977140783744557,0.5123591114767586,NA,0.07320307143836556
linear,5,100,0.8965892597968069,0.9297802381084115,0.8828624871001032,0.9238263800183305
polynomial,5,100,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,50,0.01,0.37285921625544266,0.5,NA,0
linear,50,0.01,0.8545718432510886,0.8949764260793672,0.8686622428998589,0.8754862990466706
polynomial,50,0.01,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,50,0.1,0.37285921625544266,0.5,NA,0
linear,50,0.1,0.8965529753265602,0.9281513339601575,0.919685802972248,0.9129206088029618
polynomial,50,0.1,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,50,1,0.37285921625544266,0.5,NA,0
linear,50,1,0.8984760522496371,0.9218112571982541,0.9137277183600713,0.9035850527181797
polynomial,50,1,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,50,10,0.37285921625544266,0.5,NA,0
linear,50,10,0.8985123367198838,0.92829875662693,0.9008771929824562,0.9171597133516638
polynomial,50,10,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,50,100,0.37285921625544266,0.5,NA,0
linear,50,100,0.8965892597968069,0.9297802381084115,0.8828624871001032,0.9238263800183305
polynomial,50,100,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,500,0.01,0.37285921625544266,0.5,NA,0
linear,500,0.01,0.8545718432510886,0.8949764260793672,0.8686622428998589,0.8754862990466706
polynomial,500,0.01,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,500,0.1,0.37285921625544266,0.5,NA,0
linear,500,0.1,0.8965529753265602,0.9281513339601575,0.919685802972248,0.9129206088029618
polynomial,500,0.1,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,500,1,0.37285921625544266,0.5,NA,0
linear,500,1,0.8984760522496371,0.9218112571982541,0.9137277183600713,0.9035850527181797
polynomial,500,1,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,500,10,0.37285921625544266,0.5,NA,0
linear,500,10,0.8985123367198838,0.92829875662693,0.9008771929824562,0.9171597133516638
polynomial,500,10,0.7975326560232221,0.8319484030474742,0.8163034188034188,0.8143844493999293
radial,500,100,0.37285921625544266,0.5,NA,0
linear,500,100,0.8965892597968069,0.9297802381084115,0.8828624871001032,0.9238263800183305
